EventID,Reference,Concatenated_Text
1,Genesis 1:1-2:3,"[Genesis] [ch 1] [verse 1] In the beginning God created the heavens and the earth. [verse 10] And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good. [verse 11] And God said, Let the earth put forth grass, herbs yielding seed, [and] fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so. [verse 12] And the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and God saw that it was good. [verse 13] And there was evening and there was morning, a third day. [verse 14] And God said, Let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years: [verse 15] and let them be for lights in the firmament of heaven to give light upon the earth: and it was so. [verse 16] And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also. [verse 17] And God set them in the firmament of heaven to give light upon the earth, [verse 18] and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good. [verse 19] And there was evening and there was morning, a fourth day. [verse 2] And the earth was waste and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters. [verse 20] And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven. [verse 21] And God created the great sea-monsters, and every living creature that moveth, wherewith the waters swarmed, after their kind, and every winged bird after its kind: and God saw that it was good. [verse 22] And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth. [verse 23] And there was evening and there was morning, a fifth day. [verse 24] And God said, Let the earth bring forth living creatures after their kind, cattle, and creeping things, and beasts of the earth after their kind: and it was so. [verse 25] And God made the beasts of the earth after their kind, and the cattle after their kind, and everything that creepeth upon the ground after its kind: and God saw that it was good. [verse 26] And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth. [verse 27] And God created man in his own image, in the image of God created he him; male and female created he them. [verse 28] And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moveth upon the earth. [verse 29] And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food: [verse 3] And God said, Let there be light: and there was light. [verse 30] and to every beast of the earth, and to every bird of the heavens, and to everything that creepeth upon the earth, wherein there is life, [I have given] every green herb for food: and it was so. [verse 31] And God saw everything that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day. [verse 4] And God saw the light, that it was good: and God divided the light from the darkness. [verse 5] And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day. [verse 6] And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. [verse 7] And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so. [verse 8] And God called the firmament Heaven. And there was evening and there was morning, a second day. [verse 9] And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so. [ch 2] [verse 1] And the heavens and the earth were finished, and all the host of them. [verse 2] And on the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made. [verse 3] And God blessed the seventh day, and hallowed it; because that in it he rested from all his work which God had created and made."
2,Genesis 1:3,"[Genesis] [ch 1] [verse 3] And God said, Let there be light: and there was light."
3,Genesis 1:6-8,"[Genesis] [ch 1] [verse 6] And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. [verse 7] And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so. [verse 8] And God called the firmament Heaven. And there was evening and there was morning, a second day."
4,Genesis 1:9-10,"[Genesis] [ch 1] [verse 10] And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good. [verse 9] And God said, Let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so."
5,Genesis 1:11-13,"[Genesis] [ch 1] [verse 11] And God said, Let the earth put forth grass, herbs yielding seed, [and] fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so. [verse 12] And the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and God saw that it was good. [verse 13] And there was evening and there was morning, a third day."
6,Genesis 1:14-19,"[Genesis] [ch 1] [verse 14] And God said, Let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years: [verse 15] and let them be for lights in the firmament of heaven to give light upon the earth: and it was so. [verse 16] And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: [he made] the stars also. [verse 17] And God set them in the firmament of heaven to give light upon the earth, [verse 18] and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good. [verse 19] And there was evening and there was morning, a fourth day."
7,"Genesis 1:20-23, 2:19","[Genesis] [ch 1] [verse 20] And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven. [verse 21] And God created the great sea-monsters, and every living creature that moveth, wherewith the waters swarmed, after their kind, and every winged bird after its kind: and God saw that it was good. [verse 22] And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth. [verse 23] And there was evening and there was morning, a fifth day. [ch 2] [verse 19] And out of the ground Jehovah God formed every beast of the field, and every bird of the heavens; and brought them unto the man to see what he would call them: and whatsoever the man called every living creature, that was the name thereof."
8,"Genesis 1:24-25, 2:19","[Genesis] [ch 1] [verse 24] And God said, Let the earth bring forth living creatures after their kind, cattle, and creeping things, and beasts of the earth after their kind: and it was so. [verse 25] And God made the beasts of the earth after their kind, and the cattle after their kind, and everything that creepeth upon the ground after its kind: and God saw that it was good. [ch 2] [verse 19] And out of the ground Jehovah God formed every beast of the field, and every bird of the heavens; and brought them unto the man to see what he would call them: and whatsoever the man called every living creature, that was the name thereof."
9,Genesis 1:26-27,"[Genesis] [ch 1] [verse 26] And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth. [verse 27] And God created man in his own image, in the image of God created he him; male and female created he them."
10,Genesis 1:28-30,"[Genesis] [ch 1] [verse 28] And God blessed them: and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it; and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moveth upon the earth. [verse 29] And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed; to you it shall be for food: [verse 30] and to every beast of the earth, and to every bird of the heavens, and to everything that creepeth upon the earth, wherein there is life, [I have given] every green herb for food: and it was so."
