Category,Events
Abundance,607
Anger,"500,653,672,675"
Annunciation,569
Anointing,"645,656,666,667"
Answered Prayer,"138,146,150,543,544,618"
Apparition,688
Appearance,"92,160,163,266,311,438"
Appointment,"115,243,260,324,371,390,498,515,560,624,645"
Assassination,510
Assignment,250
Assurance,"534,539,690"
Atonement,288
Birth,576
Blessing,"10,34,75,92,104,105,249,313,319,403,416,507,512,525,555,577,620,635,671,674"
Blessings,403
Boils,142
Burial,418
Calling,"37,265,622"
Cessation,"317,437"
Choice,"408,666"
Cleansing,168
Cloud,"160,163,182,196,199,206,261,356,410"
Comfort,"103,197"
Command,"12,29,86,116,241,253,271,279,284,290,292,295,301,321,323,326,330,332,358,370,377,393,412,415,422,427,429,432,435,454,471,474,516,535,536"
Commissioning,"413,420"
Communication,251
Compassion,"106,564"
Concealment,680
Confirmation,"119,120,573,646"
Confusion,"518,553,638"
Conquest,466
Consecration,"181,253,384,570"
Consequence,590
Control,312
Conviction,683
Cosmic,"459,522"
Cosmic Intervention,459
Covenant,"35,42,45,70,93,180,201,236,319,363,373,376,400,402,403,404,406,408,435,493"
Creation,"1,2,3,4,5,6,7,8,9,11,13,164"
Curse,"25,402,404,443"
Curses,"402,404"
Darkness,152
Death,"95,96,140,155,215,289,298,300,318,350,556,558,593,601,658,684,689"
Declaration,436
Defeat,"276,340,445,497,626"
Defense,267
Deliverance,"31,55,57,164,165,167,299,426,453,465,470,498,499,503,506,509,510,513,519,559,566,571,586,669,670,673,676,681"
Departure,"538,575,629"
Destruction,"58,441,455,462,471,593,631,658"
Discernment,665
Discord,557
Disease,111
Dream,"60,85,87,94,97,99,103,552"
Dreams,"94,97,99,103"
Earthquake,282
Election,"354,362,651,666"
Empowerment,"114,203,261,262,314,504,541,542,565,578,580,583,585,592,648,649,662,667,668,677"
Encouragement,"348,421,422,451,468,551"
Exaltation,"428,434"
Execution,"278,450"
Expansion,375
Faithfulness,"483,489"
Fame,614
Famine,600
Favor,"156,157,610"
Fertility,"61,62,63,72,77,78,79,80,81,82,83,84,613,617,619"
Fire,"160,182,206,214,258,283,356,537,575"
Flies,137
Food,"170,172,173"
Food and Water,173
Frogs,132
Fulfilled Prophecy,"101,102"
Fulfillment,"156,157,417,473,480,481,482,483,520,576"
Fulfilment,"554,691,692"
Geography,331
Glory,"171,202,272,285"
Gnats,135
Government,389
Growth,"577,620"
Guidance,"159,160,206,255,257,335,494,579,605,644,664,678"
Hail,"145,461"
Hailstones,461
Harassment,320
Hardening,"121,346,472"
Healing,"62,112,270,302"
Health,169
Hearing,618
Heart Change,647
History,529
Holiness,634
Holy Spirit,653
Humility,546
Identification,448
Impoverishment,527
Inscription,"190,198,357,370"
Institution,"254,385,479"
Instruction,"23,33,64,67,87,91,108,118,123,125,128,131,134,141,144,148,151,154,158,161,162,166,174,175,176,179,181,183,184,185,189,195,197,204,207,208,209,210,211,212,213,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,240,241,242,244,245,246,248,249,252,256,271,277,279,293,294,295,321,325,328,329,331,332,334,337,338,344,423,427,429,440,452,474,533,540,545,547,550,570,573,594,596,636,664"
Intercession,"133,138,146,150,259,269"
Judge,"503,509,515,559,560"
Judgment,"16,17,18,20,21,22,25,28,31,36,39,56,58,59,61,95,96,117,121,129,132,135,137,140,142,145,149,152,155,165,167,193,194,215,238,247,258,264,268,274,275,276,278,282,283,287,289,297,300,315,316,318,320,322,340,349,350,369,374,444,445,450,455,472,496,497,500,501,502,505,508,514,526,527,556,557,558,561,562,563,567,595,597,599,600,617,621,626,627,628,629,631,632,633,634,640,650,654,656,657,658,659,660,661,662,663,668,684,688,689,692"
Kindness,610
