personLookup,status,personID,displayTitle,name,surname,alsoCalled,isProperName,ambiguous,Disambiguation (temp),gender,occupations,birthYear,minYear,deathYear,maxYear,birthPlace,deathPlace,memberOf,eastons,events,eventGroups,verseCount,verses,mother,father,partners,children,siblings,halfSiblingsSameMother,halfSiblingsSameFather,chaptersWritten,alphaGroup,slug,modified
aaron_1,publish,1,Aaron,Aaron,,,checked,,,Male,,-1574,-1700,-1451,64,egypt_362,mount_hor_842,Tribe of Levi,Aaron,,,331,"Exod.4.14,Exod.4.27,Exod.4.28,Exod.4.29,Exod.4.30,Exod.5.1,Exod.5.4,Exod.5.20,Exod.6.13,Exod.6.20,Exod.6.23,Exod.6.25,Exod.6.26,Exod.6.27,Exod.7.1,Exod.7.2,Exod.7.6,Exod.7.7,Exod.7.8,Exod.7.9,Exod.7.10,Exod.7.12,Exod.7.19,Exod.7.20,Exod.8.5,Exod.8.6,Exod.8.8,Exod.8.12,Exod.8.16,Exod.8.17,Exod.8.25,Exod.9.8,Exod.9.27,Exod.10.3,Exod.10.8,Exod.10.16,Exod.11.10,Exod.12.1,Exod.12.28,Exod.12.31,Exod.12.43,Exod.12.50,Exod.15.20,Exod.16.2,Exod.16.6,Exod.16.9,Exod.16.10,Exod.16.33,Exod.16.34,Exod.17.10,Exod.17.12,Exod.18.12,Exod.19.24,Exod.24.1,Exod.24.9,Exod.24.14,Exod.27.21,Exod.28.1,Exod.28.2,Exod.28.3,Exod.28.4,Exod.28.12,Exod.28.29,Exod.28.30,Exod.28.35,Exod.28.38,Exod.28.40,Exod.28.41,Exod.28.43,Exod.29.4,Exod.29.5,Exod.29.9,Exod.29.10,Exod.29.15,Exod.29.19,Exod.29.20,Exod.29.21,Exod.29.24,Exod.29.26,Exod.29.27,Exod.29.28,Exod.29.29,Exod.29.32,Exod.29.35,Exod.29.44,Exod.30.7,Exod.30.8,Exod.30.10,Exod.30.19,Exod.30.30,Exod.31.10,Exod.32.1,Exod.32.2,Exod.32.3,Exod.32.5,Exod.32.21,Exod.32.22,Exod.32.25,Exod.32.35,Exod.34.30,Exod.34.31,Exod.35.19,Exod.38.21,Exod.39.1,Exod.39.27,Exod.39.41,Exod.40.12,Exod.40.13,Exod.40.31,Lev.1.5,Lev.1.7,Lev.1.8,Lev.1.11,Lev.2.2,Lev.2.3,Lev.2.10,Lev.3.2,Lev.3.5,Lev.3.8,Lev.3.13,Lev.6.9,Lev.6.14,Lev.6.16,Lev.6.18,Lev.6.20,Lev.6.25,Lev.7.10,Lev.7.31,Lev.7.33,Lev.7.34,Lev.7.35,Lev.8.2,Lev.8.6,Lev.8.12,Lev.8.13,Lev.8.14,Lev.8.18,Lev.8.22,Lev.8.23,Lev.8.24,Lev.8.27,Lev.8.30,Lev.8.31,Lev.8.36,Lev.9.1,Lev.9.2,Lev.9.7,Lev.9.8,Lev.9.9,Lev.9.12,Lev.9.18,Lev.9.21,Lev.9.22,Lev.9.23,Lev.10.1,Lev.10.3,Lev.10.4,Lev.10.6,Lev.10.8,Lev.10.12,Lev.10.16,Lev.10.19,Lev.11.1,Lev.13.1,Lev.13.2,Lev.14.33,Lev.15.1,Lev.16.1,Lev.16.2,Lev.16.3,Lev.16.6,Lev.16.8,Lev.16.9,Lev.16.11,Lev.16.21,Lev.16.23,Lev.17.2,Lev.21.1,Lev.21.17,Lev.21.21,Lev.21.24,Lev.22.2,Lev.22.4,Lev.22.18,Lev.24.3,Lev.24.9,Num.1.3,Num.1.17,Num.1.44,Num.2.1,Num.3.1,Num.3.2,Num.3.3,Num.3.4,Num.3.6,Num.3.9,Num.3.10,Num.3.32,Num.3.38,Num.3.39,Num.3.48,Num.3.51,Num.4.1,Num.4.5,Num.4.15,Num.4.16,Num.4.17,Num.4.19,Num.4.27,Num.4.28,Num.4.33,Num.4.34,Num.4.37,Num.4.41,Num.4.45,Num.4.46,Num.6.23,Num.7.8,Num.8.2,Num.8.3,Num.8.11,Num.8.13,Num.8.19,Num.8.20,Num.8.21,Num.8.22,Num.9.6,Num.10.8,Num.12.1,Num.12.4,Num.12.5,Num.12.10,Num.12.11,Num.13.26,Num.14.2,Num.14.5,Num.14.26,Num.15.33,Num.16.3,Num.16.11,Num.16.16,Num.16.17,Num.16.18,Num.16.20,Num.16.37,Num.16.40,Num.16.41,Num.16.42,Num.16.43,Num.16.46,Num.16.47,Num.16.50,Num.17.3,Num.17.6,Num.17.8,Num.17.10,Num.18.1,Num.18.8,Num.18.20,Num.18.28,Num.19.1,Num.20.2,Num.20.6,Num.20.8,Num.20.10,Num.20.12,Num.20.23,Num.20.24,Num.20.25,Num.20.26,Num.20.28,Num.20.29,Num.25.7,Num.25.11,Num.26.1,Num.26.9,Num.26.59,Num.26.60,Num.26.64,Num.27.13,Num.33.1,Num.33.38,Num.33.39,Deut.9.20,Deut.10.6,Deut.32.50,Josh.21.4,Josh.21.10,Josh.21.13,Josh.21.19,Josh.24.5,Josh.24.33,Judg.20.28,1Sam.12.6,1Sam.12.8,1Chr.6.3,1Chr.6.49,1Chr.6.50,1Chr.6.54,1Chr.6.57,1Chr.15.4,1Chr.23.13,1Chr.23.28,1Chr.23.32,1Chr.24.1,1Chr.24.19,1Chr.24.31,2Chr.13.9,2Chr.13.10,2Chr.26.18,2Chr.29.21,2Chr.31.19,2Chr.35.14,Ezra.7.5,Neh.10.38,Neh.12.47,Ps.77.20,Ps.99.6,Ps.105.26,Ps.106.16,Ps.115.10,Ps.115.12,Ps.118.3,Ps.133.2,Ps.135.19,Mic.6.4,Luke.1.5,Acts.7.40,Heb.5.4,Heb.7.11,Heb.9.4",jochebed_1645,amram_242,elisheba_1162,"abihu_33,eleazar_1062,nadab_2128,ithamar_649","miriam_2087,moses_2108",,,,A,aaron_1,9/7/2020 19:30
abagtha_3,wip,3,Abagtha,Abagtha,,,checked,,,Male,,,-462,,-462,,,,Abagtha,,,1,Esth.1.10,,,,,,,,,A,abagtha_3,7/27/2019 11:49
abda_4,wip,4,Abda,Abda,,,checked,,,Male,,,-1014,,-1014,,,,Abda 1,,,1,1Kgs.4.6,,,,adoniram_102,,,,,A,abda_4,7/27/2019 11:49
abdeel_5,wip,5,Abdeel,Abdeel,,,checked,,,Male,,,-606,,-606,,,,Abdeel,,,1,Jer.36.26,,,,shelemiah_2599,,,,,A,abdeel_5,7/27/2019 11:49
abdi_6,wip,6,Abdi,Abdi,,,checked,checked,"Abdi - A Levite, father of Kishi and grandfather of King David's singer Ethan. This makes Abdi a contemporary of Saul the king.",Male,,,-1042,,-1042,,,Tribe of Levi,Abdi 1,,,1,1Chr.6.44,,malluch_1918,,kishi_1788,,,,,A,abdi_6,7/27/2019 11:49
abdi_7,wip,7,Abdi,Abdi,,,checked,checked,Abdi (The son of Jehallelel),Male,,,-726,,-726,,,,Abdi 2,,,1,2Chr.29.12,,,,kish_1786,,,,,A,abdi_7,7/27/2019 11:49
abdi_8,wip,8,Abdi,Abdi,,,checked,checked,Abdi (descendent of Elam),Male,,,-456,,-456,,,,Abdi 3,,,1,Ezra.10.26,,,,,,,,,A,abdi_8,7/27/2019 11:49
abdiel_9,wip,9,Abdiel,Abdiel,,,checked,,,Male,,,-1060,,-1060,,,,Abdiel,,,1,1Chr.5.15,,guni_1331,,ahi_124,,,,,A,abdiel_9,7/27/2019 11:49
abdon_10,wip,10,Abdon,Abdon,,,checked,checked,"Abdon (Hebrew: ????????? ‘A?d?n, ""servile"" or ""service""), was the son of Hillel, a Pirathonite, and was the twelfth Judge of Israel mentioned in the Book of Judges (Judges 12:13-15). He was a member of the tribe of Ephraim, and in the biblical account was credited with having forty sons and thirty grandsons. He restored order in the central area of Israel ""after the disastrous feud with Jephtha and the Gileadites"".[1] He judged Israel for eight years. He was buried on Ephraimite land, in Pirathon, in the hill-country of the Amalekites.",Male,,,-1164,,-1156,,,,Abdon 1,,,2,"Judg.12.13,Judg.12.15",,hillel_1530,,,,,,,A,abdon_10,9/13/2020 20:09
abdon_11,wip,11,Abdon,Abdon,,,checked,checked,,Male,,,0,,0,,,,Abdon 4,,,1,1Chr.8.23,,shashak_2561,,,"antothijah_271,iphedeiah_606,ishpan_639,elam_1050,eliel_1106,hanan_1370,hananiah_1385,heber_1474,penuel_2315,zichri_3067",,,,A,abdon_11,7/27/2019 11:49
