bookOrder,writer
1,moses_2108
2,moses_2108
3,moses_2108
4,moses_2108
5,moses_2108
6,joshua_1727
7,samuel_2469
8,samuel_2469
9,samuel_2469
9,gad_1263
9,nathan_2153
10,samuel_2469
10,gad_1263
10,nathan_2153
11,jeremiah_853
12,jeremiah_853
13,ezra_1245
14,ezra_1245
15,ezra_1245
16,nehemiah_2172
17,mordecai_2107
18,moses_2108
19,david_994
19,asaph_330
19,solomon_2762
19,heman_1488
19,ethan_1222
19,moses_2108
20,solomon_2762
20,agur_112
20,lemuel_1817
21,solomon_2762
22,solomon_2762
23,isaiah_617
24,jeremiah_853
25,jeremiah_853
26,ezekiel_1237
27,daniel_975
28,hosea_1555
29,joel_1660
30,amos_238
31,obadiah_2226
32,jonah_1689
33,micah_2053
34,nahum_2145
35,habakkuk_1334
36,zephaniah_3040
37,haggai_1349
38,zechariah_3016
39,malachi_1899
40,matthew_1971
41,mark_1679
42,luke_1836
43,john_1677
44,luke_1836
45,paul_2479
46,paul_2479
47,paul_2479
48,paul_2479
49,paul_2479
50,paul_2479
51,paul_2479
52,paul_2479
53,paul_2479
54,paul_2479
55,paul_2479
56,paul_2479
57,paul_2479
58,paul_2479
59,james_719
60,peter_2745
61,peter_2745
62,john_1677
63,john_1677
64,john_1677
65,jude_1756
66,john_1677
