EventID,Reference,,,,
1,Genesis 1:1-2:3,,,,
2,Genesis 1:3,,,,
3,Genesis 1:6-8,,,,
4,Genesis 1:9-10,,,,
5,Genesis 1:11-13,,,,
6,Genesis 1:14-19,,,,
7,"Genesis 1:20-23, 2:19",,,,
8,"Genesis 1:24-25, 2:19",,,,
9,Genesis 1:26-27,,,,
10,Genesis 1:28-30,,,,
11,Genesis 2:7,,,,
12,Genesis 2:16-17,,,,
13,Genesis 2:21-22,,,,
14,Genesis 3:9,,,,
15,Genesis 3:11-13,,,,
16,Genesis 3:14-15,,,,
17,Genesis 3:16,,,,
18,Genesis 3:17-19,,,,
19,Genesis 3:21,,,,
20,Genesis 3:22,,,,
21,Genesis 3:23,,,,
22,Genesis 3:24,,,,
23,Genesis 4:6-7,,,,
24,Genesis 4:9-10,,,,
25,Genesis 4:11-12,,,,
26,Genesis 4:15,,,,
27,Genesis 5:24,,,,
28,Genesis 6:13-21,,,,
29,Genesis 7:1-4,,,,
30,Genesis 7:16,,,,
31,Genesis 6:17-8:22,,,,
32,Genesis 8:1,,,,
33,Genesis 8:15-17,,,,
34,Genesis 9:1-7,,,,
35,Genesis 9:8-17,,,,
36,Genesis 11:1-9,,,,
37,Genesis 12:1-3,,,,
38,Genesis 12:7,,,,
39,Genesis 12:17,,,,
40,Genesis 13:14,,,,
41,Genesis 15:1-5,,,,
42,Genesis 15:9-21,,,,
43,Genesis 16:7-14,,,,
44,Genesis 17:1,,,,
45,Genesis 17:2-16,,,,
46,Genesis 17:5,,,,
47,Genesis 17:15,,,,
48,Genesis 17:15-19,,,,
49,Genesis 17:19,,,,
50,Genesis 17:20,,,,
51,Genesis 17:21,,,,
52,Genesis 18:1-2,,,,
53,Genesis 18:10-14,,,,
54,Genesis 18:17-21,,,,
55,Genesis 19:10,,,,
56,Genesis 19:11,,,,
57,Genesis 19:12-16,,,,
58,Genesis 19:24-25,,,,
59,Genesis 19:26,,,,
60,Genesis 20:3-7,,,,
61,Genesis 20:17-18,,,,
62,Genesis 20:17,,,,
63,Genesis 21:1-2,,,,
64,Genesis 21:12-13,,,,
65,Genesis 21:17-18,,,,
66,Genesis 21:19,,,,
67,Genesis 22:1-2,,,,
68,Genesis 22:11-12,,,,
69,Genesis 22:13,,,,
70,Genesis 22:15-18,,,,
71,Genesis 24:15-27,,,,
72,Genesis 25:21,,,,
73,Genesis 25:23-24,,,,
74,Genesis 26:1-6,,,,
75,Genesis 26:24-25,,,,
76,Genesis 28:12-15,,,,
77,Genesis 29:31-32,,,,
78,Genesis 29:33,,,,
79,Genesis 29:34,,,,
80,Genesis 29:35,,,,
81,Genesis 29:35,,,,
82,Genesis 30:17-18,,,,
83,Genesis 30:19-20,,,,
84,Genesis 30:22-24,,,,
85,Genesis 31:10-12,,,,
86,Genesis 31:13,,,,
87,Genesis 31:24,,,,
88,Genesis 32:1-2,,,,
89,Genesis 32:24-30,,,,
90,"Genesis 32:28, 35:10",,,,
91,Genesis 35:1,,,,
92,Genesis 35:9-13,,,,
93,Genesis 35:10-13,,,,
94,Genesis 37:5-11,,,,
