EventID,Category
1,Creation
2,Speech
2,Creation
3,Creation
3,Speech
4,Creation
4,Speech
5,Creation
5,Speech
6,Speech
6,Creation
7,Speech
7,Creation
8,Creation
8,Speech
9,Creation
9,Speech
10,Blessing
10,Speech
11,Creation
12,Speech
12,Command
13,Creation
14,Interrogation
14,Speech
15,Interrogation
15,Speech
16,Speech
16,Judgment
16,Prophecy
17,Speech
17,Judgment
18,Speech
18,Judgment
19,Provision
20,Judgment
20,Speech
21,Judgment
22,Protection
22,Judgment
23,Speech
23,Instruction
24,Speech
24,Interrogation
25,Judgment
25,Curse
25,Speech
26,Sign
26,Speech
26,Protection
27,Translation
28,Judgment
28,Revelation
29,Speech
29,Command
30,Protection
31,Deliverance
31,Judgment
32,Mercy
32,Intervention
33,Instruction
33,Speech
34,Speech
34,Blessing
35,Sign
35,Speech
35,Covenant
36,Judgment
36,Intervention
37,Calling
37,Speech
38,Theophany
38,Promise
39,Protection
39,Judgment
40,Speech
40,Promise
41,Promise
41,Speech
42,Theophany
42,Covenant
43,Theophany
43,Speech
44,Speech
44,Theophany
45,Speech
45,Covenant
46,Naming
46,Speech
47,Speech
47,Naming
48,Speech
48,Promise
49,Prophecy
49,Speech
50,Prophecy
50,Speech
51,Speech
51,Prophecy
52,Theophany
52,Speech
53,Speech
53,Prophecy
54,Revelation
54,Speech
55,Deliverance
56,Judgment
57,Deliverance
58,Destruction
58,Judgment
59,Judgment
59,Transformation
60,Warning
60,Dream
60,Speech
61,Judgment
61,Fertility
62,Healing
62,Fertility
63,Fertility 
64,Speech
64,Instruction
65,Provision
65,Speech
66,Provision
67,Test
67,Instruction
67,Speech
68,Intervention
68,Speech
69,Provision
70,Covenant
70,Speech
71,Prayer
71,Marriage
72,Fertility 
72,Prayer
73,Prophecy
73,Speech
74,Theophany
74,Speech
75,Speech
75,Theophany
75,Blessing
76,Vision
76,Speech
77,Fertility 
78,Fertility 
79,Fertility 
80,Fertility 
81,Fertility 
82,Fertility 
83,Fertility 
84,Fertility 
85,Dream
85,Speech
85,Revelation
86,Command
86,Speech
87,Dream
87,Speech
87,Instruction
88,Theophany
89,Theophany
89,Wrestling
90,Naming
90,Speech
91,Instruction
91,Speech
92,Blessing
92,Speech
92,Appearance
93,Covenant
93,Speech
94,Revelation
94,Dreams
95,Judgment
95,Death
96,Judgment
96,Death
97,Revelation
97,Dreams
98,Interpretation
98,Revelation
99,Dreams
99,Revelation
100,Revelation
100,Interpretation
101,Providence
101,Fulfilled Prophecy
102,Fulfilled Prophecy
102,Providence
103,Comfort
103,Speech
103,Dreams
104,Blessing
104,Prophecy
105,Blessing
106,Compassion
106,Remembrance
107,Theophany
108,Instruction
108,Speech
109,Transmutation
109,Sign
110,Sign
110,Transmutation
111,Sign
111,Disease
112,Sign
112,Healing
113,Sign
113,Transmutation
114,Empowerment
114,Speech
115,Speech
115,Appointment
116,Speech
116,Command
117,Intervention
117,Judgment
118,Instruction
118,Speech
119,Signs
119,Confirmation
120,Signs
120,Confirmation
121,Judgment
121,Hardening
122,Speech
122,Promise
123,Instruction
123,Speech
124,Speech
124,Revelation
125,Speech
125,Instruction
126,Transmutation
126,Sign
127,Warning
127,Speech
128,Instruction
128,Speech
129,Judgment
129,Plague
129,Transmutation
130,Warning
130,Speech
131,Instruction
131,Speech
132,Plague
132,Frogs
132,Judgment
133,Intercession
133,Prayer
134,Instruction
134,Speech
135,Judgment
135,Plague
135,Gnats
136,Speech
136,Warning
137,Plague
137,Flies
137,Judgment
138,Answered Prayer
138,Intercession
139,Warning
139,Speech
140,Judgment
140,Death
140,Plague
141,Speech
141,Instruction
142,Judgment
142,Plague
142,Boils
143,Warning
143,Speech
144,Speech
144,Instruction
145,Judgment
145,Plague
145,Hail
146,Intercession
146,Answered Prayer
147,Warning
147,Speech
148,Speech
148,Instruction
149,Locusts
149,Plague
149,Judgment
150,Intercession
150,Answered Prayer
151,Speech
151,Instruction
152,Judgment
152,Plague
152,Darkness
153,Speech
153,Warning
154,Instruction
154,Speech
155,Plague
155,Death
155,Judgment
156,Favor
156,Fulfillment
157,Fulfillment
157,Favor
158,Speech
158,Instruction
159,Strategy
159,Guidance
160,Guidance
160,Appearance
160,Cloud
160,Fire
161,Instruction
161,Speech
162,Speech
162,Instruction
163,Protection
163,Cloud
163,Appearance
164,Creation
164,Wind
164,Deliverance
164,Water
165,Judgment
165,Deliverance
166,Speech
166,Instruction
167,Deliverance
167,Judgment
168,Provision
168,Cleansing
169,Health
169,Promise
169,Speech
170,Promise
170,Food
170,Speech
170,Provision
171,Theophany
171,Glory
172,Food
172,Provision
172,Speech
172,Promise
173,Food and Water
173,Provision
174,Speech
174,Instruction
175,Speech
175,Instruction
176,Speech
176,Instruction
177,Water
177,Provision
178,Victory
178,Intervention
179,Instruction
179,Speech
180,Speech
180,Covenant
181,Instruction
181,Speech
181,Consecration
182,Theophany
182,Trumpet
182,Speech
182,Smoke
182,Presence
182,Lightning
182,Fire
182,Thunder
182,Cloud
182,Warning
183,Instruction
183,Speech
183,Law
184,Speech
184,Law
184,Instruction
185,Speech
185,Law
185,Instruction
186,Promise
186,Speech
187,Vision
187,Theophany
188,Theophany
188,Speech
189,Instruction
189,Speech
190,Inscription
191,Revelation
192,Mercy
192,Relenting
193,Judgment
193,Separation
194,Plague
194,Judgment
195,Instruction
195,Speech
196,Cloud
196,Presence
196,Theophany
197,Instruction
197,Comfort
197,Theophany
197,Speech
198,Speech
198,Inscription
199,Theophany
199,Cloud
200,Revelation
200,Speech
201,Speech
201,Covenant
202,Transformation
202,Glory
203,Skill
203,Empowerment
204,Instruction
204,Speech
205,Manifestation
205,Presence
206,Fire
206,Cloud
206,Presence
206,Guidance
207,Speech
207,Law
207,Instruction
208,Speech
208,Instruction
208,Law
209,Law
209,Instruction
209,Speech
210,Speech
210,Instruction
210,Law
211,Instruction
211,Law
211,Speech
212,Instruction
212,Law
212,Speech
213,Speech
213,Law
213,Instruction
214,Theophany
214,Fire
215,Judgment
215,Death
216,Law
216,Speech
216,Instruction
217,Law
217,Speech
217,Instruction
218,Speech
218,Instruction
218,Law
219,Instruction
219,Law
219,Speech
220,Instruction
220,Speech
220,Law
221,Instruction
221,Law
221,Speech
222,Instruction
222,Law
222,Speech
223,Speech
223,Law
223,Instruction
224,Instruction
224,Law
224,Speech
225,Speech
225,Instruction
225,Law
226,Speech
226,Instruction
226,Law
227,Speech
227,Instruction
227,Law
228,Speech
228,Instruction
228,Law
229,Speech
229,Instruction
229,Law
230,Speech
230,Law
230,Instruction
231,Speech
231,Instruction
231,Law
232,Law
232,Speech
232,Instruction
233,Speech
233,Law
233,Instruction
234,Speech
234,Law
234,Instruction
235,Instruction
235,Speech
235,Law
236,Covenant
236,Promise
237,Presence
237,Promise
238,Judgment
238,Warning
239,Promise
239,Mercy
240,Instruction
240,Law
241,Command
241,Speech
241,Instruction
242,Speech
242,Organization
242,Instruction
243,Speech
243,Appointment
244,Speech
244,Instruction
245,Instruction
245,Law
245,Speech
246,Law
246,Speech
246,Instruction
247,Speech
247,Law
247,Judgment
248,Law
248,Instruction
248,Speech
249,Instruction
249,Blessing
249,Speech
250,Assignment
250,Provision
250,Speech
251,Communication
251,Speech
252,Instruction
252,Speech
253,Command
253,Consecration
253,Speech
254,Speech
254,Institution
255,Guidance
255,Presence
256,Instruction
256,Speech
257,Guidance
257,Movement
258,Fire
258,Judgment
259,Prayer
259,Intercession
260,Appointment
260,Promise
260,Speech
261,Cloud
261,Prophecy
261,Empowerment
261,Presence
262,Empowerment
262,Prophecy
263,Provision
263,Wind
264,Plague
264,Judgment
265,Calling
265,Speech
266,Theophany
266,Appearance
267,Speech
267,Defense
268,Judgment
268,Leprosy
269,Intercession
269,Prayer
269,Speech
270,Restoration
270,Healing
271,Command
271,Speech
271,Instruction
272,Glory
272,Theophany
273,Speech
273,Warning
274,Mercy
274,Judgment
274,Speech
275,Judgment
275,Plague
276,Judgment
276,Defeat
277,Law
277,Instruction
278,Execution
278,Judgment
278,Speech
279,Instruction
279,Speech
279,Command
280,Warning
280,Speech
281,Speech
281,Warning
281,Mercy
282,Judgment
282,Earthquake
283,Judgment
283,Fire
284,Memorial
284,Command
284,Speech
285,Theophany
285,Glory
286,Warning
287,Plague
287,Judgment
288,Mercy
288,Atonement
289,Death
289,Judgment
290,Speech
290,Test
290,Command
291,Sign
292,Memorial
292,Speech
292,Command
293,Instruction
293,Law
294,Law
294,Instruction
295,Command
295,Instruction
296,Provision
297,Judgment
297,Prohibition
298,Timing
298,Death
299,Prayer
299,Deliverance
299,Victory
300,Judgment
300,Death
301,Command
301,Remedy
301,Speech
302,Healing
302,Salvation
303,Warfare
303,Victory
304,Warfare
304,Victory
305,Prohibition
305,Speech
306,Permission
306,Speech
307,Opposition
307,Intervention
308,Speech
309,Revelation
309,Vision
310,Rebuke
310,Speech
311,Appearance
312,Control
312,Speech
313,Prophecy
313,Blessing
314,Prophecy
314,Empowerment
315,Judgment
316,Plague
316,Judgment
317,Cessation
317,Mercy
318,Judgment
318,Death
319,Speech
319,Blessing
319,Covenant
320,Speech
320,Harassment
320,Judgment
321,Speech
321,Command
321,Instruction
322,Speech
322,Judgment
322,Law
323,Speech
323,Command
324,Speech
324,Appointment
325,Instruction
325,Speech
325,Law
326,Speech
326,Warfare
326,Command
327,Warfare
327,Victory
328,Speech
328,Instruction
328,Law
329,Instruction
329,Speech
329,Recording
330,Warfare
330,Speech
330,Command
331,Instruction
331,Geography
331,Speech
332,Speech
332,Instruction
332,Command
