Patriarch,Event,Ref,Calendar Year,Calendar Year+Length,Length,Years Since Creation,Meaning,Number of Records,Year
Adam,Birth to Son's Birth,"Gen 5:3 ""And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:""",-4004,3874 BC,130,0,red,1,-4004
Adam,Son's Birth to Death,"Gen 5:4-5 ""And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters: And all the days that Adam lived were nine hundred and thirty years: and he died.""",-3874,3074 BC,800,130,red,1,-3874
Seth,Birth to Son's Birth,"Gen 5:6 ""And Seth lived an hundred and five years, and begat Enos:""",-3874,3769 BC,105,130,compensation,1,-3874
Enos,Birth to Son's Birth,"Gen 5:9 ""And Enos lived ninety years, and begat Cainan:""",-3769,3679 BC,90,235,man,1,-3769
Seth,Son's Birth to Death,"Gen 5:7-8 ""And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters: And all the days of Seth were nine hundred and twelve years: and he died.""",-3769,2962 BC,807,235,compensation,1,-3769
Enos,Son's Birth to Death,"Gen 5:10-11 ""And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters: And all the days of Enos were nine hundred and five years: and he died.""",-3679,2864 BC,815,325,man,1,-3679
Cainan,Birth to Son's Birth,"Gen 5:12 ""And Cainan lived seventy years and begat Mahalaleel:""",-3679,3609 BC,70,325,possession,1,-3679
Cainan,Son's Birth to Death,"Gen 5:13-14 ""And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters: And all the days of Cainan were nine hundred and ten years: and he died.""",-3609,2769 BC,840,395,possession,1,-3609
Mahalaleel,Birth to Son's Birth,"Gen 5:15 ""And Mahalaleel lived sixty and five years, and begat Jared:""",-3609,3544 BC,65,395,One who praises God,1,-3609
Jared,Birth to Son's Birth,"Gen 5:18 ""And Jared lived an hundred sixty and two years, and he begat Enoch:""",-3544,3382 BC,162,460,descent,1,-3544
Mahalaleel,Son's Birth to Death,"Gen 5:16-17 ""And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters: And all the days of Mahalaleel were eight hundred ninety and five years: and he died.""",-3544,2714 BC,830,460,One who praises God,1,-3544
Enoch,Birth to Son's Birth,"Gen 5:21 ""And Enoch lived sixty and five years, and begat Methuselah:""",-3382,3317 BC,65,622,dedicated,1,-3382
Jared,Son's Birth to Death,"Gen 5:19-20 ""And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters: And all the days of Jared were nine hundred sixty and two years: and he died.""",-3382,2582 BC,800,622,descent,1,-3382
Enoch,Son's Birth to Death,"Gen 5:22-24 ""And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters: And all the days of Enoch were three hundred sixty and five years: And Enoch walked with God: and he was not; for God took him.""",-3317,3017 BC,300,687,dedicated,1,-3317
